회의내용,날짜,상태
착수계획 미팅,2025년 8월 27일   (GMT+9),완료
Official 프로젝트 시작,2025년 9월 1일,진행 중
PoC 테스트,2025년 9월 8일 → 2025년 10월 10일,완료
네트워크 구성 변경 미팅,2025년 9월 9일,완료
아키텍쳐 그리기(1차),2025년 9월 29일 → 2025년 10월 17일,완료
"vnet 생성 및 피어링 (미서부, 미중남부, 미동부)",,완료
휴스턴 현장 망전환,2025년 10월 16일   (GMT+9),완료
오스틴 현장 망전환,2025년 10월 22일 → 2025년 10월 23일,완료
LA 현장 망전환,2025년 10월 28일 → 2025년 10월 30일,완료
"호주(SREA,시드니) 망전환",2025년 11월 18일 → 2025년 11월 20일,완료
도쿄 현장 사옥 이전,2025년 12월 4일 → 2025년 12월 7일,완료
홍콩 법인 신규 망전환,2025년 12월 19일 → 2025년 12월 21일,예정
테스트를해볼게욥,2025년 12월 16일 → 2025년 12월 18일,진행 중